id,txt,GRNB,FUND,IND,UNI,COR,MISC
4280594,"This work was supported by the Economic and Social Research Council [grant number ES/J500100/11, an ESRC postgraduate studentship to Chloe Robbins.",ES/J500100/11,Economic and Social Research Council;ESRC,Chloe Robbins,,,
1762875,The work of T. Helleseth and C. Li is supported by the Research Council of Norway; C. Li's work is also partly supported by the research project (No. 720025) from UH-nett Vest in Norway and the National Natural Science Foundation of China under Grant 61771021.,720025;61771021,UH-nett Vest in Norway;National Natural Science Foundation of China; Research Council of Norway;,C. Li;T. Helleseth,,,
7701196,"Supported, in part, by Natural Sciences and Engineering Research Council of Canada Grant 2016-06172 (Ian McQuillan).",2016-06172,Natural Sciences and Engineering Research Council of Canada,Ian McQuillan,,,
6673000,A. Graell i Amat was supported by the Swedish Research Council under Grants 2011-5961 and 2016-04253.,2011-5961;2016-04253,Swedish Research Council,A. Graell i Amat,,,
6001829,Support for this study was provided by National Institute on Aging grants AG05552 and AG020153 awarded to Thomas M. Hess.,AG020153;AG05552,National Institute on Aging,Thomas M. Hess,,,
4397851,"J. D. S. and D. W. B. were supported by the NIA (T32-AG000139-25, T-32AG000029), and (P30-AG028716-08).",T-32AG000029;T32-AG000139-25;P30-AG028716-08,NIA,J. D. S.;W. B.,,,
143122,"This research was supported by National Institute of Child Health and Human Development Grant R01 HD062226, awarded to authors DiLillo (Principal Investigator) and Gratz and Messman-Moore (Co-Investigators).",R01 HD062226,National Institute of Child Health and Human Development Grant,DiLillo;Gratz;Messman-Moore,,,
2285129,This research was supported by a grant from the National Science Foundation (BCS 0921271) awarded to Stephen A. Erath.,BCS 0921271,National Science Foundation,Stephen A. Erath,,,
4995387,"Part of this research received support from the UK Engineering and Physical Sciences Research Council (EP/M507970/1) and this paper is part of a broader investigation into the role of urban science in the implementation of the New Urban Agenda, which benefitted from the invaluable research support of Katrien Steenmans.",EP/M507970/1,UK Engineering and Physical Sciences Research Council,Katrien Steenmans,,,
3960896,"This work was supported by the Thailand Research Fund (TRF) and Faculty of Engineering, Thammasat University, under Grant RSA6080084.",RSA6080084,Thailand Research Fund (TRF);TRF,Grant RSA6080084,"Faculty of Engineering, Thammasat University",,
1877341,S.D.'s research is also partly supported by the National Natural Science Foundation of China (No. 11401443).,11401443,National Natural Science Foundation of China,S.D.,,,
5208092,F. Leitao holds a scholarship from Fundacao para a Ciencia e Tecnologia (SFRH/BPD/63935/2009).,SFRH/BPD/63935/2009,Fundacao para a Ciencia e Tecnologia,F. Leitao,,,
2461513,"This research was supported by Institute of Education Sciences Grant R305A120416 to Kelly S. Mix and Susan C. Levine, as well as National Science Foundation Spatial Intelligence Learning Center Grants SBE-1041707 and SBE-0541957 to Susan C. Levine.",R305A120416;SBE-0541957;SBE-1041707,National Science Foundation Spatial Intelligence Learning Center,Kelly S. Mix;Susan C. Levine,Institute of Education Sciences,,
744853,Y. M. Chee was supported by the Singapore Ministry of Education under Grant MOE2015-T2-2-086.,MOE2015-T2-2-086,Singapore Ministry of Education,Y. M. Chee,,,
7701196,"Supported, in part, by NSF Grant CCF-1117708 (Oscar H. Ibarra).",CCF-1117708,NSF,Oscar H. Ibarra,,,
744853,A. Vardy was supported by the National Science Foundation under Grants CCF-1405119 and CCF-1719139.,CCF-1719139;CCF-1405119,National Science Foundation,A. Vardy,,,
8240579,James Ruzicka was supported by grant OCE 1416905 from the US National Science Foundation.,OCE 1416905,US National Science Foundation,James Ruzicka,,,
6286241,This research was supported in part by grants from the National Science Foundation (BCS 1151209) and the Toyota Collaborative Safety Research Center.,BCS 1151209,National Science Foundation,,,Toyota Collaborative Safety Research Center,
7645610,"It is also partly supported by a research contract between URI and Shenzhen Dapu Microelectronics Co., Ltd, Shenzhen Peacock Plan (KQTD2015091716453118).",KQTD2015091716453118,Shenzhen Peacock Plan,,URI,"Shenzhen Dapu Microelectronics Co., Ltd",
5270648,"This work was financed by the Bank of Sweden Tercentenary Foundation, project number P10-0107.",P10-0107,,,,Bank of Sweden Tercentenary Foundation,
1858553,We thank Panjin Guanghe Fisheries Co. Ltd for providing the shrimps.,,,,,Panjin Guanghe Fisheries Co. Ltd,
2291225,"Bathymetric data is used courtesy of the Maritime and Coastguard Agency (MCA) and UK Hydrographic Office, collected as part of the INIS Hydro Interreg IVa Cross-border programme managed by the Special EU Programmes Body.",,Maritime and Coastguard Agency (MCA);Special EU Programmes Body;UK Hydrographic Office,,,,INIS Hydro Interreg IVa Cross-border
5681158,"The NCCYS is a joint collaboration between university researchers affiliated with Canada's four Metropolis Centres of Excellence for research on immigration and settlement, and community organizations representing Afghani, Hong Kong Chinese, Mainland Chinese, Latin American (El Salvadorean, Guatemalan, Colombian), Ethiopian, Haitian, Iranian, Kurdish, Lebanese, Filipino, Punjabi, Serbian, Somali, Jamaican, Sri Lankan Tamil, and Vietnamese newcomers in Canada.",,Metropolis Centres of Excellence,,,,NCCYS
547571,This work was supported by a National Research Service Award from the National Institute of Child Health and Human Development to Y.H. (HD061173).,HD061173,National Institute of Child Health and Human Development,,,,National Research Service Award
840403,"This work was supported in part by the National Basic Research Program of China (973 Program) under Grant 2013CB328805, in part by the National Natural Science Foundation of China under Grant 61272359, in part by the Fok Ying-Tong Education Foundation for Young Teachers, and in part by the Specialized Fund for Joint Building Program of Beijing Municipal Education Commission.",61272359;2013CB328805,National Natural Science Foundation of China;National Basic Research Program of China;Fok Ying-Tong Education Foundation for Young Teachers; Specialized Fund for Joint Building Program of Beijing Municipal Education Commission,,,,973 Program
3333604,"We would like to acknowledge Consorzio di Bonifica Deltapo (whose personnel has been always available with very helpful information) for providing bathymetry data of Po Delta lagoons and littorals and data of freshwater discharge of pumping stations; AIPO (Agenzia Interregionale per il fiume Po) for providing Po river cross sections and water level recorded along the Po river; Alessandro Bossman from CNR-IGAG (Institute of Environmental Geology and Geoengineering of the Italian National Research) for providing multibeam bathymetry data of Po di Pila and his two lateral branches; Fantina Madricardo (CNR-ISMAR) for providing multibeam bathymetry data of Pila mouth; Agenzia Regionale per la Prevenzione, l'Ambiente e l'Energia dell'Emilia-Romagna (ARPAE), for providing bathymetry data of Goro Lagoon, tidal data from Porto Garibaldi, Volano and Faro di Goro stations, and salinity and water temperature data from offshore buoy; ISPRA Servizio Laguna di Venezia for providing other water level and meteorological data; and Agenzia Regionale per la Prevenzione e Protezione Ambientale del Veneto (ARPAV) for providing the meteorological data and the Adige river discharge.",,CNR-ISMAR,Alessandro Bossman;Fantina Madricardo ,CNR-IGAG (Institute of Environmental Geology and Geoengineering of the Italian National Research),"Consorzio di Bonifica Deltapo;AIPO (Agenzia Interregionale per il fiume Po);Agenzia Regionale per la Prevenzione, l'Ambiente e l'Energia dell'Emilia-Romagna (ARPAE);ISPRA Servizio Laguna di Venezia;Agenzia Regionale per la Prevenzione e Protezione Ambientale del Veneto (ARPAV)",
5844285,This work was supported by the Universiti Kebangsaan Malaysia (UKM) under Grant AP-2017-007/1.,AP-2017-007/1,,,Universiti Kebangsaan Malaysia (UKM),,
3291173,"First and foremost, we would like to thank GIPP Grant, UPM for providing grant for the project (9323654).",9323654,GIPP,,UPM,,
1348446,"This research is part of LS's doctoral research, for which she received funding from the Natural Sciences and Engineering Research Council of Canada (PGSD3- 374164) and a teaching assistantship from the Biology Department at the Universidad del Valle.",PGSD3- 374164,Natural Sciences and Engineering Research Council of Canada,,Universidad del Valle;Biology Department,,
